date,date,ave_t,max_t,min_t
2012-02-01,2012-02-01,5.4,9.1,2.2
2012-03-01,2012-03-01,8.8,12.5,5.3
2012-04-01,2012-04-01,14.5,18.5,11.0
2012-05-01,2012-05-01,19.6,23.6,16.1
2012-06-01,2012-06-01,21.4,24.8,18.6
2012-07-01,2012-07-01,26.4,30.1,23.5
2012-08-01,2012-08-01,29.1,33.1,26.3
2012-09-01,2012-09-01,26.2,29.8,23.3
2012-10-01,2012-10-01,19.4,23.0,16.2
2012-11-01,2012-11-01,12.7,16.3,9.6
2012-12-01,2012-12-01,7.3,11.2,3.8
2013-01-01,2013-01-01,5.5,9.6,1.8
2013-02-01,2013-02-01,6.2,10.3,2.7
2013-03-01,2013-03-01,12.1,16.4,7.9
2013-04-01,2013-04-01,15.2,19.2,10.8
2013-05-01,2013-05-01,19.8,24.1,16.0
2013-06-01,2013-06-01,22.9,26.5,20.0
2013-07-01,2013-07-01,27.3,31.4,24.2
2013-08-01,2013-08-01,29.2,33.2,26.0
2013-09-01,2013-09-01,25.2,28.8,21.8
2013-10-01,2013-10-01,19.8,23.0,17.0
2013-11-01,2013-11-01,13.5,17.4,9.8
2013-12-01,2013-12-01,8.3,12.1,4.9
2014-01-01,2014-01-01,6.3,10.6,2.5
2014-02-01,2014-02-01,5.9,9.8,2.8
2014-03-01,2014-03-01,10.4,14.5,6.7
2014-04-01,2014-04-01,15.0,19.6,11.0
2014-05-01,2014-05-01,20.3,24.7,16.7
2014-06-01,2014-06-01,23.4,26.9,20.7
2014-07-01,2014-07-01,26.8,30.5,23.9
2014-08-01,2014-08-01,27.7,31.2,24.8
2014-09-01,2014-09-01,23.2,26.9,20.1
2014-10-01,2014-10-01,19.1,23.0,16.0
2014-11-01,2014-11-01,14.2,17.4,11.3
2014-12-01,2014-12-01,6.7,11.0,2.8
2015-01-01,2015-01-01,5.8,10.4,1.8
2015-02-01,2015-02-01,5.7,10.4,1.9
2015-03-01,2015-03-01,10.3,15.5,5.8
2015-04-01,2015-04-01,14.5,19.3,10.1
